UID,Title,Rank,Stream type,Episodes,Start date,End date,Members,Score
1951,Boku ga Aishita Subete no Kimi e,1951,Movie ,1.0,Oct 2022 , Oct 2022,"97,225 ",7.48
1952,Boukyaku Battery (TV),1952,TV ,12.0,Apr 2024 , Jul 2024,"28,783 ",7.48
1953,Da Yu Hai Tang (Movie),1953,Movie ,1.0,Jul 2016 , Jul 2016,"44,387 ",7.48
1954,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,1954,ONA ,1.0,Jun 2017 , Jun 2017,"84,395 ",7.48
1955,Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,1955,Movie ,1.0,Mar 2017 , Mar 2017,"6,645 ",7.48
1956,Futari-bun no Shoumei,1956,ONA ,1.0,Dec 2022 , Dec 2022,"6,918 ",7.48
1957,"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",1957,Movie ,1.0,Nov 2017 , Nov 2017,"29,155 ",7.48
1958,Hitoribocchi no Marumaru Seikatsu,1958,TV ,12.0,Apr 2019 , Jun 2019,"220,813 ",7.48
1959,"Ijiranaide, Nagatoro-san 2nd Attack",1959,TV ,12.0,Jan 2023 , Mar 2023,"285,663 ",7.48
1960,Acchi Kocchi,1960,TV ,12.0,Apr 2012 , Jun 2012,"322,572 ",7.47
1961,Akame ga Kill!,1961,TV ,24.0,Jul 2014 , Dec 2014,"2,106,053 ",7.47
1962,Another,1962,TV ,12.0,Jan 2012 , Mar 2012,"1,678,030 ",7.47
1963,Bai She: Yuan Qi,1963,Movie ,1.0,Jan 2019 , Jan 2019,"9,098 ",7.47
1964,Benghuai: Xing Qiong Tiedao - Fei Guang,1964,ONA ,1.0,May 2023 , May 2023,854 ,7.47
1965,City Hunter Movie: Shinjuku Private Eyes,1965,Movie ,1.0,Feb 2019 , Feb 2019,"12,515 ",7.47
1966,Dead Mount Death Play Part 2,1966,TV ,12.0,Oct 2023 , Dec 2023,"110,329 ",7.47
1967,Donten ni Warau,1967,TV ,12.0,Oct 2014 , Dec 2014,"130,386 ",7.47
1968,Elfen Lied,1968,TV ,13.0,Jul 2004 , Oct 2004,"1,523,540 ",7.47
1969,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,1969,Special ,1.0,Oct 2015 , Oct 2015,"115,054 ",7.47
1970,Grisaia no Kajitsu,1970,TV ,13.0,Oct 2014 , Dec 2014,"618,937 ",7.47
1971,Gundam Build Divers Re:Rise 2nd Season,1971,ONA ,13.0,Apr 2020 , Aug 2020,"13,067 ",7.47
1972,High School DxD New,1972,TV ,12.0,Jul 2013 , Sep 2013,"918,935 ",7.47
1973,Hokuto no Ken Zero: Kenshirou Den,1973,Movie ,1.0,Oct 2008 , Oct 2008,"12,002 ",7.47
1974,Isekai Izakaya: Koto Aitheria no Izakaya Nobu,1974,ONA ,24.0,Apr 2018 , Sep 2018,"44,343 ",7.47
1975,Isekai Quartet Movie: Another World,1975,Movie ,1.0,Jun 2022 , Jun 2022,"82,492 ",7.47
1976,Jashin-chan Dropkick',1976,TV ,11.0,Apr 2020 , Jun 2020,"50,707 ",7.47
1977,Shinryaku!! Ika Musume,1977,OVA ,3.0,Aug 2012 , Sep 2014,"28,356 ",7.47
1978,Shinryaku!? Ika Musume,1978,TV ,12.0,Sep 2011 , Dec 2011,"100,280 ",7.47
1979,"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",1979,Special ,3.0,Sep 1998 , Sep 1999,"28,759 ",7.47
1980,Tanoshii Muumin Ikka Bouken Nikki,1980,TV ,26.0,Oct 1991 , Mar 1992,"7,076 ",7.47
1981,Wanneng Lian Ai Zahuo Dian,1981,ONA ,16.0,Nov 2023 , Feb 2024,883 ,7.47
1982,Xingchen Bian: Xingchen Yao Hai,1982,ONA ,12.0,Sep 2021 , Oct 2021,"3,252 ",7.47
1983,Xue Ying Ling Zhu 2nd Season,1983,ONA ,22.0,Dec 2020 , Mar 2021,"2,594 ",7.47
1984,Yong Sheng,1984,ONA ,12.0,Jan 2022 , Apr 2022,"2,429 ",7.47
1985,Junjou Romantica,1985,TV ,12.0,Apr 2008 , Jun 2008,"256,864 ",7.47
1986,Kamisama no Memochou,1986,TV ,12.0,Jul 2011 , Sep 2011,"240,889 ",7.47
1987,Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,1987,Movie ,1.0,Nov 2013 , Nov 2013,"52,595 ",7.47
1988,Kyoukaisenjou no Horizon II,1988,TV ,13.0,Jul 2012 , Sep 2012,"83,901 ",7.47
1989,Ling Long: Incarnation Part 2,1989,ONA ,6.0,Jul 2020 , Oct 2020,"2,347 ",7.47
1990,Major 2nd 2nd Season,1990,TV ,25.0,Apr 2020 , Nov 2020,"22,377 ",7.47
1991,"Momoko, Kaeru no Uta ga Kikoeru yo.",1991,Movie ,1.0,Jul 2003 , Jul 2003,"5,153 ",7.47
1992,Pokemon Generations,1992,ONA ,18.0,Dec 2016 , Feb 2017,"59,751 ",7.47
1993,Psycho-Pass: Sinners of the System Case.2 - First Guardian,1993,Movie ,1.0,Feb 2019 , Feb 2019,"97,775 ",7.47
1994,Saenai Heroine no Sodatekata,1994,TV ,12.0,Jan 2015 , Mar 2015,"666,838 ",7.47
1995,Saint☆Oniisan,1995,OVA ,2.0,Dec 2012 , Aug 2013,"93,566 ",7.47
1996,Sarazanmai,1996,TV ,11.0,Apr 2019 , Jun 2019,"134,427 ",7.47
1997,Sekaiichi Hatsukoi: Propose-hen,1997,Movie ,1.0,Feb 2020 , Feb 2020,"26,328 ",7.47
1998,Juan Siliang,1998,ONA ,15.0,Jun 2021 , Sep 2021,"2,419 ",7.46
1999,Kaleido Star: Aratanaru Tsubasa - Extra Stage,1999,OVA ,1.0,Sep 2004 , Sep 2004,"14,688 ",7.46
2000,Kamikaze Kaitou Jeanne,2000,TV ,44.0,Feb 1999 , Jan 2000,"57,784 ",7.46
2001,Kamonohashi Ron no Kindan Suiri,2001,TV ,13.0,Oct 2023 , Dec 2023,"123,662 ",7.46
2002,Madang-eul Naon Amtalg,2002,Movie ,1.0,Jul 2011 , Jul 2011,"4,272 ",7.46
2003,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,2003,Movie ,1.0,Jun 2017 , Jun 2017,"192,891 ",7.46
2004,Meng Qi Shi Shen: Huanxi Zhui Hun,2004,ONA ,12.0,Jul 2022 , Sep 2022,"5,164 ",7.46
2005,Miira no Kaikata,2005,TV ,12.0,Jan 2018 , Mar 2018,"138,849 ",7.46
2006,Naruto: Shippuuden Movie 5 - Blood Prison,2006,Movie ,1.0,Jul 2011 , Jul 2011,"254,113 ",7.46
2007,Oemojisangjuui,2007,ONA ,8.0,Dec 2022 , Dec 2022,"93,585 ",7.46
2008,Orange: Mirai,2008,Movie ,1.0,Nov 2016 , Nov 2016,"137,734 ",7.46
2009,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,2009,TV ,12.0,Apr 2020 , Jun 2020,"457,851 ",7.46
2010,Ouritsu Uchuugun: Honneamise no Tsubasa,2010,Movie ,1.0,Mar 1987 , Mar 1987,"47,390 ",7.46
2011,Oushitsu Kyoushi Heine,2011,TV ,12.0,Apr 2017 , Jun 2017,"145,526 ",7.46
2012,Sayonara Zetsubou Sensei Special,2012,Special ,1.0,Jan 2012 , Jan 2012,"19,023 ",7.46
2013,Senki Zesshou Symphogear G,2013,TV ,13.0,Jul 2013 , Sep 2013,"60,841 ",7.46
2014,Shen Lan Qi Yu Wushuang Zhu,2014,ONA ,15.0,Jul 2022 , Oct 2022,"1,871 ",7.46
2015,Acchi Kocchi: Place=Princess,2015,Special ,1.0,Nov 2012 , Nov 2012,"61,779 ",7.46
2016,Aikatsu!,2016,TV ,178.0,Oct 2012 , Mar 2016,"44,468 ",7.46
2017,Amagi Brilliant Park,2017,TV ,13.0,Oct 2014 , Dec 2014,"662,083 ",7.46
2018,Angel Densetsu,2018,OVA ,2.0,Dec 1996 , Dec 1996,"40,983 ",7.46
2019,Bai She II: Qing She Jie Qi,2019,Movie ,1.0,Jul 2021 , Jul 2021,"4,353 ",7.46
2020,Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,2020,Special ,1.0,Jul 2020 , Jul 2020,"48,511 ",7.46
2021,Burn the Witch #0.8,2021,TV Special ,1.0,Dec 2023 , Dec 2023,"37,123 ",7.46
2022,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,2022,Movie ,1.0,Apr 2010 , Apr 2010,"7,271 ",7.46
2023,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2023,TV ,12.0,Oct 2020 , Dec 2020,"604,605 ",7.46
2024,Fairy Tail OVA,2024,OVA ,5.0,Apr 2011 , Jun 2013,"167,506 ",7.46
2025,Fullmetal Alchemist: Brotherhood - 4-koma Gekijou,2025,Special ,16.0,Aug 2009 , Nov 2010,"60,715 ",7.46
2026,Furiko,2026,Special ,1.0,Mar 2012 , Mar 2012,"19,940 ",7.46
2027,Grappler Baki (TV),2027,TV ,24.0,Jan 2001 , Jun 2001,"148,356 ",7.46
2028,Hidamari Sketch,2028,TV ,12.0,Jan 2007 , Mar 2007,"80,726 ",7.46
2029,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,2029,OVA ,1.0,Mar 2020 , Mar 2020,"42,751 ",7.46
2030,Itsudatte Bokura no Koi wa 10 cm Datta.,2030,TV ,6.0,Nov 2017 , Dec 2017,"233,404 ",7.46
2031,Shokugeki no Souma: Ni no Sara OVA,2031,OVA ,2.0,May 2017 , Jul 2017,"164,663 ",7.46
2032,Sugar Apple Fairy Tale,2032,TV ,12.0,Jan 2023 , Mar 2023,"115,241 ",7.46
2033,Tonari no Kaibutsu-kun,2033,TV ,13.0,Oct 2012 , Dec 2012,"1,091,466 ",7.46
2034,Waga Seishun no Arcadia,2034,Movie ,1.0,Jul 1982 , Jul 1982,"11,629 ",7.46
2035,Youjo Senki: Sabaku no Pasta Daisakusen,2035,ONA ,1.0,Jun 2021 , Jun 2021,"60,694 ",7.46
2036,Yowamushi Pedal: Spare Bike,2036,Movie ,1.0,Sep 2016 , Sep 2016,"12,529 ",7.46
2037,Yu☆Gi☆Oh! 5D's,2037,TV ,154.0,Apr 2008 , Mar 2011,"143,615 ",7.46
2038,Yuru Camp△ Season 2 Specials,2038,Special ,2.0,May 2021 , Jul 2021,"22,234 ",7.46
2039,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,2039,TV ,12.0,Jan 2013 , Mar 2013,"154,405 ",7.46
2040,Shigofumi,2040,TV ,12.0,Jan 2008 , Mar 2008,"92,501 ",7.45
2041,Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,2041,OVA ,1.0,May 2018 , May 2018,"84,806 ",7.45
2042,Sidonia no Kishi: Ai Tsumugu Hoshi,2042,Movie ,1.0,Jun 2021 , Jun 2021,"27,032 ",7.45
2043,Soredemo Machi wa Mawatteiru,2043,TV ,12.0,Oct 2010 , Dec 2010,"64,826 ",7.45
2044,Suisei no Gargantia,2044,TV ,13.0,Apr 2013 , Jun 2013,"339,411 ",7.45
2045,Suzumiya Haruhi-chan no Yuuutsu,2045,ONA ,25.0,Feb 2009 , May 2009,"99,378 ",7.45
2046,Taiho Shichau zo,2046,OVA ,4.0,Sep 1994 , Nov 1995,"30,303 ",7.45
2047,Tennis no Oujisama: Another Story II - Ano Toki no Bokura,2047,OVA ,4.0,Aug 2011 , Oct 2011,"11,349 ",7.45
2048,The iDOLM@STER: 765 Pro to Iu Monogatari,2048,Special ,1.0,Jun 2012 , Jun 2012,"23,428 ",7.45
2049,Vinland Saga Season 2: Drowning in the Shadow,2049,ONA ,1.0,Feb 2023 , Feb 2023,"22,513 ",7.45
2050,Xiao Lu He Xiao Lan,2050,ONA ,72.0,Aug 2018 , Feb 2019,"10,450 ",7.45
2051,Yozakura Quartet: Hana no Uta,2051,TV ,13.0,Oct 2013 , Dec 2013,"126,073 ",7.45
2052,Yozakura Quartet: Tsuki ni Naku,2052,OVA ,3.0,Oct 2013 , Nov 2014,"29,678 ",7.45
2053,Kara no Kyoukai Movie 6: Boukyaku Rokuon,2053,Movie ,1.0,Dec 2008 , Dec 2008,"193,827 ",7.45
2054,Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,2054,Special ,1.0,Sep 2013 , Sep 2013,"50,131 ",7.45
2055,Kishuku Gakkou no Juliet,2055,TV ,12.0,Oct 2018 , Dec 2018,"375,412 ",7.45
2056,"Kumo desu ga, Nani ka?",2056,TV ,24.0,Jan 2021 , Jul 2021,"444,563 ",7.45
2057,Kyuuketsuki Sugu Shinu 2,2057,TV ,12.0,Jan 2023 , Mar 2023,"33,723 ",7.45
2058,Magic Knight Rayearth,2058,TV ,20.0,Oct 1994 , Mar 1995,"71,576 ",7.45
2059,Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,2059,Special ,1.0,Apr 2009 , Apr 2009,"10,014 ",7.45
2060,Saki,2060,TV ,25.0,Apr 2009 , Sep 2009,"95,074 ",7.45
2061,Senki Zesshou Symphogear GX,2061,TV ,13.0,Jul 2015 , Sep 2015,"48,194 ",7.45
2062,Angel Beats! Another Epilogue,2062,Special ,1.0,Dec 2010 , Dec 2010,"244,323 ",7.45
2063,Captain Tsubasa: Road to 2002,2063,TV ,52.0,Oct 2001 , Oct 2002,"59,555 ",7.45
2064,Carnival Phantasm EX Season,2064,OVA ,1.0,Nov 2011 , Nov 2011,"49,359 ",7.45
2065,Chio-chan no Tsuugakuro,2065,TV ,12.0,Jul 2018 , Sep 2018,"121,271 ",7.45
2066,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,2066,Movie ,1.0,Sep 2013 , Sep 2013,"137,991 ",7.45
2067,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,2067,Movie ,1.0,Apr 2002 , Apr 2002,"6,018 ",7.45
2068,Do It Yourself!!,2068,TV ,12.0,Oct 2022 , Dec 2022,"109,422 ",7.45
2069,Dragon Ball Super,2069,TV ,131.0,Jul 2015 , Mar 2018,"837,352 ",7.45
2070,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,2070,Movie ,1.0,Feb 2019 , Feb 2019,"216,091 ",7.45
2071,Future GPX Cyber Formula Sin,2071,OVA ,5.0,Dec 1998 , Mar 2000,"3,212 ",7.45
2072,Hanbun no Tsuki ga Noboru Sora,2072,TV ,6.0,Jan 2006 , Feb 2006,"101,631 ",7.45
2073,Hime-chan no Ribbon,2073,TV ,61.0,Oct 1992 , Dec 1993,"10,310 ",7.45
2074,Hokuto no Ken: Raoh Gaiden Junai-hen,2074,Movie ,1.0,Mar 2006 , Mar 2006,"12,160 ",7.45
2075,Aggressive Retsuko (ONA) 5th Season,2075,ONA ,10.0,Feb 2023 , Feb 2023,"28,672 ",7.44
2076,Aishiteruze Baby★★,2076,TV ,26.0,Apr 2004 , Oct 2004,"103,999 ",7.44
2077,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,2077,Special ,1.0,Sep 2014 , Sep 2014,"136,067 ",7.44
2078,Days: Touin Gakuen-sen!,2078,OVA ,3.0,Mar 2018 , Jul 2018,"24,290 ",7.44
2079,Digimon Adventure tri. 2: Ketsui,2079,Movie ,1.0,Mar 2016 , Mar 2016,"82,135 ",7.44
2080,Doraemon Movie 15: Nobita to Mugen Sankenshi,2080,Movie ,1.0,Mar 1994 , Mar 1994,"7,870 ",7.44
2081,Gabriel DropOut,2081,TV ,12.0,Jan 2017 , Mar 2017,"460,017 ",7.44
2082,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,2082,TV ,13.0,Jan 2022 , Apr 2022,"253,870 ",7.44
2083,"Goodbye, Don Glees!",2083,Movie ,1.0,Feb 2022 , Feb 2022,"23,516 ",7.44
2084,Haha wo Tazunete Sanzenri,2084,TV ,52.0,Jan 1976 , Dec 1976,"11,661 ",7.44
2085,Hetalia World Series,2085,ONA ,48.0,Mar 2010 , Mar 2011,"111,445 ",7.44
2086,Hetalia: The Beautiful World Specials,2086,Special ,4.0,Apr 2013 , Oct 2013,"18,438 ",7.44
2087,Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,2087,Movie ,1.0,Dec 2011 , Dec 2011,"19,211 ",7.44
2088,Shuumatsu Train Doko e Iku?,2088,TV ,12.0,Apr 2024 , Jun 2024,"57,334 ",7.44
2089,Super Cub,2089,TV ,12.0,Apr 2021 , Jun 2021,"116,946 ",7.44
2090,Tales of Symphonia The Animation: Tethe'alla-hen,2090,OVA ,4.0,Mar 2010 , Feb 2011,"32,396 ",7.44
2091,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,2091,OVA ,1.0,Sep 2010 , Sep 2010,"68,352 ",7.44
2092,Tonari no Seki-kun Specials,2092,Special ,2.0,May 2014 , May 2014,"33,604 ",7.44
2093,Urusei Yatsura Movie 5: Kanketsu-hen,2093,Movie ,1.0,Feb 1988 , Feb 1988,"9,187 ",7.44
2094,Wu Dong Qian Kun,2094,ONA ,12.0,Jan 2019 , Apr 2019,"8,110 ",7.44
2095,Joshiraku,2095,TV ,13.0,Jul 2012 , Sep 2012,"180,880 ",7.44
2096,Kamichu! Specials,2096,Special ,4.0,Nov 2005 , Mar 2006,"11,899 ",7.44
2097,Kengan Ashura,2097,ONA ,12.0,Jul 2019 , Jul 2019,"165,340 ",7.44
2098,Kin no Kuni Mizu no Kuni,2098,Movie ,1.0,Jan 2023 , Jan 2023,"9,960 ",7.44
2099,Lady Jewelpet,2099,TV ,52.0,Apr 2014 , Mar 2015,"11,993 ",7.44
2100,Lady Lady!!,2100,TV ,21.0,Oct 1987 , Mar 1988,"7,197 ",7.44
2101,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,2101,Movie ,1.0,Oct 2016 , Oct 2016,"4,218 ",7.44
2102,Mini Dragon Specials,2102,Special ,8.0,Jul 2021 , Jan 2022,"41,179 ",7.44
2103,Motto! Ojamajo Doremi,2103,TV ,50.0,Feb 2001 , Jan 2002,"22,515 ",7.44
2104,Ojamajo Doremi Sharp,2104,TV ,49.0,Feb 2000 , Jan 2001,"22,977 ",7.44
2105,Omoide Poroporo,2105,Movie ,1.0,Jul 1991 , Jul 1991,"149,285 ",7.44
2106,"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",2106,Movie ,1.0,Mar 2008 , Mar 2008,"68,466 ",7.44
2107,Psycho-Pass 3,2107,TV ,8.0,Oct 2019 , Dec 2019,"275,005 ",7.44
2108,Shakugan no Shana,2108,TV ,24.0,Oct 2005 , Mar 2006,"539,267 ",7.44
2109,K,2109,TV ,13.0,Oct 2012 , Dec 2012,"765,359 ",7.43
2110,K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,2110,Movie ,1.0,Oct 2018 , Oct 2018,"21,168 ",7.43
2111,Kiniro no Corda: Primo Passo - Hitonatsu no Encore,2111,Special ,1.0,Mar 2007 , Mar 2007,"23,088 ",7.43
2112,Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,2112,Movie ,1.0,Jun 2013 , Jun 2013,"64,400 ",7.43
2113,Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,2113,Movie ,1.0,Sep 2014 , Sep 2014,"42,030 ",7.43
2114,Koukaku Kidoutai: Shin Movie,2114,Movie ,1.0,Jun 2015 , Jun 2015,"47,907 ",7.43
2115,"Kumo no Mukou, Yakusoku no Basho",2115,Movie ,1.0,Nov 2004 , Nov 2004,"219,790 ",7.43
2116,Mahou Shoujo Lyrical Nanoha: Reflection,2116,Movie ,1.0,Jul 2017 , Jul 2017,"14,378 ",7.43
2117,Marmalade Boy,2117,TV ,76.0,Mar 1994 , Sep 1995,"56,963 ",7.43
2118,Meitantei Conan Movie 11: Konpeki no Jolly Roger,2118,Movie ,1.0,Apr 2007 , Apr 2007,"45,326 ",7.43
2119,New Initial D Movie: Battle Digest,2119,OVA ,1.0,Jan 2022 , Jan 2022,"6,541 ",7.43
2120,Nozomanu Fushi no Boukensha,2120,TV ,12.0,Jan 2024 , Mar 2024,"136,104 ",7.43
2121,Oooku,2121,ONA ,10.0,Jun 2023 , Jun 2023,"24,268 ",7.43
2122,Oshi ga Budoukan Ittekuretara Shinu,2122,TV ,12.0,Jan 2020 , Mar 2020,"46,161 ",7.43
2123,Otome Youkai Zakuro,2123,TV ,13.0,Oct 2010 , Dec 2010,"125,206 ",7.43
2124,Piano no Mori (TV) 2nd Season,2124,TV ,12.0,Jan 2019 , Apr 2019,"52,209 ",7.43
2125,Pokemon Evolutions,2125,ONA ,8.0,Sep 2021 , Dec 2021,"17,887 ",7.43
2126,Rakudai Kishi no Cavalry,2126,TV ,12.0,Oct 2015 , Dec 2015,"958,726 ",7.43
2127,Saihate no Paladin: Tetsusabi no Yama no Ou,2127,TV ,12.0,Oct 2023 , Dec 2023,"114,987 ",7.43
2128,Samurai 7,2128,TV ,26.0,Jun 2004 , Dec 2004,"132,648 ",7.43
2129,Ajin Part 1: Shoudou,2129,Movie ,1.0,Nov 2015 , Nov 2015,"46,451 ",7.43
2130,Ansatsu Kyoushitsu: Deai no Jikan,2130,Special ,1.0,Nov 2014 , Nov 2014,"138,181 ",7.43
2131,Bleach Movie 1: Memories of Nobody,2131,Movie ,1.0,Dec 2006 , Dec 2006,"282,886 ",7.43
2132,Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi,2132,Special ,1.0,Feb 2022 , Feb 2022,"32,318 ",7.43
2133,Chouyaku Hyakuninisshu: Uta Koi.,2133,TV ,13.0,Jul 2012 , Sep 2012,"30,404 ",7.43
2134,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,2134,Movie ,1.0,Apr 2014 , Apr 2014,"6,675 ",7.43
2135,Darker than Black: Ryuusei no Gemini,2135,TV ,12.0,Oct 2009 , Dec 2009,"414,032 ",7.43
2136,Digimon Adventure tri. 1: Saikai,2136,Movie ,1.0,Nov 2015 , Nov 2015,"115,182 ",7.43
2137,Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,2137,Movie ,1.0,Mar 2014 , Mar 2014,"9,840 ",7.43
2138,Edens Zero 2nd Season,2138,TV ,25.0,Apr 2023 , Oct 2023,"68,097 ",7.43
2139,Haiyore! Nyaruko-san F,2139,OVA ,1.0,Jun 2015 , Jun 2015,"58,423 ",7.43
2140,Hetalia World Series Specials,2140,Special ,4.0,Mar 2011 , Sep 2012,"24,509 ",7.43
2141,Houkago Teibou Nisshi,2141,TV ,12.0,Apr 2020 , Sep 2020,"65,384 ",7.43
2142,Shingeki no Bahamut: Virgin Soul,2142,TV ,24.0,Apr 2017 , Sep 2017,"245,738 ",7.43
2143,Sora no Otoshimono Forte,2143,TV ,12.0,Oct 2010 , Dec 2010,"293,169 ",7.43
2144,"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, nanode",2144,Special ,1.0,Jun 2014 , Jun 2014,"6,036 ",7.43
2145,Tegamibachi: Hikari to Ao no Gensou Yawa,2145,Special ,1.0,Nov 2008 , Nov 2008,"14,871 ",7.43
2146,Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,2146,Movie ,1.0,Jan 2005 , Jan 2005,"15,800 ",7.43
2147,To LOVE-Ru Darkness 2nd,2147,TV ,12.0,Jul 2015 , Sep 2015,"262,307 ",7.43
2148,Toradora! Recap,2148,OVA ,1.0,Apr 2009 , Apr 2009,"64,665 ",7.43
2149,Toradora!: Bentou no Gokui,2149,Special ,1.0,Dec 2011 , Dec 2011,"180,884 ",7.43
2150,Toshokan Sensou,2150,TV ,12.0,Apr 2008 , Jun 2008,"75,337 ",7.43
2151,Tsurune Movie: Hajimari no Issha,2151,Movie ,1.0,Aug 2022 , Aug 2022,"19,550 ",7.43
2152,Uchuu no Kishi Tekkaman Blade,2152,TV ,49.0,Feb 1992 , Feb 1993,"17,415 ",7.43
2153,Yoru no Kuni,2153,ONA ,3.0,Apr 2021 , Sep 2021,"14,212 ",7.43
2154,Yowamushi Pedal: Re:Road,2154,Movie ,1.0,Jun 2015 , Jun 2015,"11,283 ",7.43
2155,Shonan Junai Gumi!,2155,OVA ,5.0,Jan 1994 , Jan 1997,"46,529 ",7.42
2156,Shugo Chara!! Doki,2156,TV ,51.0,Oct 2008 , Sep 2009,"104,641 ",7.42
2157,Simoun,2157,TV ,26.0,Apr 2006 , Sep 2006,"43,714 ",7.42
2158,SSSS.Dynazenon,2158,TV ,12.0,Apr 2021 , Jun 2021,"133,163 ",7.42
2159,Steins;Gate: Soumei Eichi no Cognitive Computing,2159,ONA ,4.0,Oct 2014 , Nov 2014,"111,882 ",7.42
2160,Tenchi Muyou!,2160,TV ,26.0,Apr 1995 , Sep 1995,"81,543 ",7.42
2161,Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,2161,Movie ,1.0,Sep 2011 , Sep 2011,"11,265 ",7.42
2162,Tenshi na Konamaiki,2162,TV ,50.0,Apr 2002 , Mar 2003,"28,696 ",7.42
2163,Tiger & Bunny 2,2163,ONA ,13.0,Apr 2022 , Apr 2022,"23,428 ",7.42
2164,To LOVE-Ru Darkness,2164,TV ,12.0,Oct 2012 , Dec 2012,"373,925 ",7.42
2165,Tonikaku Kawaii: Kaisou,2165,TV Special ,1.0,Dec 2020 , Dec 2020,"60,718 ",7.42
2166,Tsugu Tsugumomo,2166,TV ,12.0,Apr 2020 , Jun 2020,"112,292 ",7.42
2167,Yaoguai Mingdan 2nd Season,2167,ONA ,21.0,Aug 2017 , Dec 2017,"9,272 ",7.42
2168,Yokohama Kaidashi Kikou,2168,OVA ,2.0,May 1998 , Dec 1998,"41,713 ",7.42
2169,Zero no Tsukaima F,2169,TV ,12.0,Jan 2012 , Mar 2012,"423,589 ",7.42
2170,Kiratto Pri☆chan Season 2,2170,TV ,51.0,Apr 2019 , Mar 2020,"3,355 ",7.42
2171,"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",2171,OVA ,1.0,Oct 2012 , Oct 2012,"106,977 ",7.42
2172,Mardock Scramble: The First Compression,2172,Movie ,1.0,Oct 2010 , Oct 2010,"73,855 ",7.42
2173,Meng Qi Shi Shen: Zaijie Liangyuan,2173,ONA ,12.0,Oct 2021 , Dec 2021,"8,407 ",7.42
2174,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,2174,TV ,10.0,Jan 2013 , Mar 2013,"589,131 ",7.42
2175,Mugen no Juunin: Immortal,2175,ONA ,24.0,Oct 2019 , Mar 2020,"84,767 ",7.42
2176,Naruto: Shippuuden Movie 4 - The Lost Tower,2176,Movie ,1.0,Jul 2010 , Jul 2010,"259,876 ",7.42
2177,Nodame Cantabile OVA,2177,OVA ,1.0,Aug 2009 , Aug 2009,"28,583 ",7.42
2178,Paniponi Dash!,2178,TV ,26.0,Jul 2005 , Dec 2005,"63,926 ",7.42
2179,Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,2179,Movie ,1.0,Aug 1992 , Aug 1992,"22,034 ",7.42
2180,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,2180,TV ,12.0,Oct 2015 , Dec 2015,"219,052 ",7.42
2181,Seijo no Maryoku wa Bannou desu Season 2,2181,TV ,12.0,Oct 2023 , Dec 2023,"82,254 ",7.42
2182,Benghuai: Xing Qiong Tiedao - Xuanhuang,2182,ONA ,1.0,Aug 2023 , Aug 2023,885 ,7.42
